place,country,google_maps_url,description,region,place_type,blog_source,romance,family,cost,nature,adventure,culture,food,relaxation,service,accessibility,description_count,last_updated
Baan Dam Museum,Thailand,https://goo.gl/maps/GEx9cnehDokKNh8B6,"Not too far from Chiang Rai City Center, you will find another unique museum called , also known as the ""Black House"" in Thai. It is home to stunning wooden architecture designed by Thawan Duchanee, another great artist from Chiang Rai who was prominently featured in the mural at the Art Bridge.",,,,3,5,4,0,2,10,0,6,6,9,1,2026-04-07
Baan Heng,Thailand,https://maps.app.goo.gl/9Eow3GDRDaZB336r6,"Not too far from Aim Oat, you’ll find another excellent local spot called , which offers a similar Thai-Vietnamese breakfast menu but with even more variety, making it a great choice for lunch as well. Impressively, this humble local eatery has even earned recognition from the Michelin Guide, a rare feat for restaurants outside of Bangkok.",,,,0,1,12,0,0,7,8,1,1,0,1,2026-04-07
Baan Kang Wat,Thailand,https://maps.app.goo.gl/Fw3rJKQE2S2GeDdj7,"Chiang Mai is a city that is always changing, and when I went back in 2025, I discovered a new and awesome art village called , which translates to ""The Houses Beside the Temple"". It is exactly that: a collection of wooden houses right by Wat Ram Poeng on the foothills of Doi Suthep that have been converted into an art village where you will find all kinds of art and craft shops. You can also join activities like painting, creating your own notebook, and more.",,,,2,5,4,7,7,9,1,7,4,8,1,2026-04-07
Baan Krood Beach,Thailand,https://goo.gl/maps/u2Vg9qTzvQ9pbjer6,"While you are at the temple, you can also go for a stroll along , a beautiful quiet beach, or try some delicious seafood dishes at Platoo Seafood, a nice seaside restaurant nearby.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Baan Louise,Thailand,https://goo.gl/maps/tBMZYRd8gMqhbknh6,"Another fascinating place to visit in Lampang is , the former residence of Louis T. Leonowens and the office of the Louis T. Leonowens company. Once a major teak logging company, it is now a museum dedicated to preserving the history of the once prosperous teak logging industry that boomed in the late 19th and early 20th centuries.",,,,2,3,4,2,3,9,0,5,7,8,1,2026-04-07
Baan Rak Thai,Thailand,https://goo.gl/maps/NWZLQJVya9GZQWj46,"One of the most beautiful places in Mae Hong Son, in my opinion, is , an old Chinese jade-trading settlement located right at the border between Myanmar and Thailand. It has since become a tourist attraction with its beautiful Chinese architecture, Chinese tea shops, and more.",,,,7,6,4,9,4,9,4,9,6,3,1,2026-04-07
Baan Sao Nak,Thailand,https://goo.gl/maps/UXia3s9BaTFESjhT8,"If you want to learn more about the history of Lampang, you can also check out , a large traditional house built in the late 19th century by a wealthy family of Thai elites. They have preserved most of the antiques and furniture used back in the day and turned their house into a museum.",,,,0,2,4,0,0,10,0,1,3,7,1,2026-04-07
Bamboo Beach,Thailand,https://goo.gl/maps/UVhwve91HWML57qGA,"The island is also home to some of the most remote beaches you can visit in the country, with many scattered across the west coast. My favorite one of all is . The sand is the finest out of all the beaches in Ko Lanta, and due to its remote location right by the southern tip of the island, the place has a tranquility vibe you can't get anywhere else.",,,,7,4,8,10,5,0,0,9,1,6,1,2026-04-07
Bamboo Island,Thailand,https://www.google.com/maps/place/Bamboo+Island,Bamboo Island is one of the top sights in the Phi Phi islands and is included in most Phi Phi tours.,Phi Phi,island,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bamboo Island (Koh Phai),Thailand,https://www.google.com/maps/place/Bamboo+Island,"A small flat island with a nice sandy beach, less crowded than Maya Bay, and a great spot for swimming and sunbathing.",Andaman Sea,Island,The World Travel Guy,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bamee Giao Je Nite,Thailand,https://maps.app.goo.gl/DXFFJAGPnY785QVq5,"If you’re looking for a local and affordable place to eat in Lom Sak Old Town, be sure to check out , a beloved old noodle shop located right in the heart of the city. It’s been around for decades, and locals of all ages still flock here for their delicious egg noodle tom yum.",,,,0,3,12,0,0,8,10,5,9,9,1,2026-04-07
Ban Cha Bo Hill,Thailand,https://goo.gl/maps/nZcrbEPogkVYWHdY9,"But before we visit Pai, there are several stops along the way that you shouldn't miss. One of these places is the stunning viewpoint at , which overlooks the rolling mountains around Ban Cha Bo village.

At , you will find a cozy cafe and restaurant where you can have your morning coffee and warm noodle soup while dangling your feet off into the mountains. If you are there early enough, you might even see a sea of fog from the cafe.",,,,4,4,6,10,6,2,4,8,2,4,1,2026-04-07
Ban Chiang National Museum,Thailand,https://maps.app.goo.gl/yBEZTyhFiy9XWebbA,"is a UNESCO World Heritage Site located approximately 55 kilometers southeast of Udon Thani City. The museum highlights the prehistoric period of the region, showcasing distinctive red-painted pottery excavated here that dates back between 3,000 and 5,000 years.",,,,1,3,4,3,5,10,0,7,7,10,1,2026-04-07
Ban Fa Prong Restaurant,Thailand,https://maps.app.goo.gl/YLE4rYn9gJD3JTq68,"is one of my favorite places to eat in Sakon Nakhon. The restaurant offers a wide variety of dishes, both Thai and Western, along with pastries, coffee, and snacks, making it a great choice for any occasion. There are both indoor and outdoor seating options, with the indoor space thoughtfully divided into different zones for dining, coffee, or a mix of both.",,,,5,8,12,0,1,8,9,10,10,8,1,2026-04-07
Ban Huay Dua,Thailand,https://maps.app.goo.gl/Y7NrJaXQPwQW5PA49,"If you are visiting the 150 Million Year Old Stone Shell Museum,  is a pretty interesting place to stop as it is located right next to the museum and it is a bustling market selling all kinds of fresh produce straight from the jungle. There are many markets in Thailand, but not many focus on selling jungle produce like here.",,,,1,3,4,8,4,7,6,7,6,6,1,2026-04-07
Ban Nam Chiao,Thailand,https://maps.app.goo.gl/eYsDmZuSK4fEKoB1A,"Located not too far from Trat City Center, you will find a small fishing community called , a riverside community known for its incredible diversity, with Khmer and Malay Muslims, Chinese, and Thais living together harmoniously.",,,,3,7,4,9,5,10,4,8,5,7,1,2026-04-07
Bang Krachao,Thailand,https://maps.app.goo.gl/xh6EJopaAAwTgWtr6,"Another great place in Samut Prakan that can easily be reached via a boat straight from Bangkok is , a small artificial island formed by a bend in the Chao Phraya River and a canal at its western end and it is considered to be the green lung of Bangkok, even though it lies within Samut Prakran province.

Another great short day trip you can take from Bangkok is to explore , a small artificial island formed by a bend in the Chao Phraya River and a canal at its western end. The area technically lies within Phra Pradaeng District, which is in Samut Prakan Province, but it is so close to Bangkok that many consider it the green lung of the metropolis.",,,,4,6,8,10,6,4,0,8,4,10,1,2026-04-07
Bang Krachao Pier,Thailand,https://maps.app.goo.gl/GL4D65iaCU2Q6Le28,"From the pier, you can catch the ferry to Bang Krachao for about 40 THB round trip on big boats or 20 THB round trip on small boats. The boat runs from 6 AM to 8 PM every day. The journey should take about 15 minutes, and upon arrival in , you can then rent a bike to ride to Sri Nakhon Khuean Khan Park and Botanical Garden. That's it. Easy peasy!

From the pier, you can catch the ferry to Bang Krachao and begin your journey. The boat runs from 6 AM to 8 PM every day. The journey should take about 15 minutes, and upon arrival at , you can then walk to Sri Nakhon Khuean Khan Park and rent a bike from there. That's it. Easy peasy!

You can rent a bike from one of the many bike rental places around Bang Krachao for 30-80 THB per day, depending on the bike's condition. If you are coming from the MRT and taking the boat across, you can rent one directly from the . However, the starting price would be 80 THB per day. You will find a cheaper option if you instead walk from the pier to the park's entrance and rent a bike for only 40 THB from this rental place.",,,,0,3,8,7,7,0,0,7,5,10,1,2026-04-07
Bang Nam Phueng Floating Market,Thailand,https://maps.app.goo.gl/pT8hZizAN1MvbK8eA,"If you are in Bang Krachao on the weekend, be sure to drop by  and get some lunch before ending the trip. Unlike many commercialized floating markets around Bangkok, this one is authentic, with a canal full of covered stalls selling all kinds of products, from street food to handicrafts.",,,,2,4,16,8,4,7,10,7,3,2,1,2026-04-07
Bang Phai Station,Thailand,https://maps.app.goo.gl/UZBhcckmkYzANXux6,"The temple is open from 6 AM to 9 PM every day, and there is no entrance fee. You can take the MRT to , then walk or hail a taxi to reach the temple quickly. You can also drive here and park at the temple's dedicated parking lot, which is free for the first hour and costs 20 THB for the next 2 hours.",,,,1,5,12,6,6,8,0,8,8,10,1,2026-04-07
Bang Pu Beach,Thailand,https://goo.gl/maps/o9rKwoLJi2HPoLSa6,"To get to Phraya Nakhon Cave, you will have to drive to  where you can then, take a 5-minute long-tail boat journey to the trailhead before you can begin the hike to Phraya Nakhon Cave.",,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bang Pu Recreational Center,Thailand,https://goo.gl/maps/y4MsALcd2fyma4kGA,"Last but not least,  is a great place to watch the sunset by the sea and end your day trip in Samut Prakan. The recreational center is, in fact, located within a military base, but they have converted the area and the old Suk Ta Bridge pier into a public place for anyone to enjoy.",,,,6,4,4,10,4,0,0,9,3,8,1,2026-04-07
Bang Sue Grand Station,Thailand,https://maps.app.goo.gl/maoFXpkjWL9n1w9w6,"By Train: You can also take a train from  in Bangkok to Chiang Mai Train Station, which can take anywhere from 11-15 hours. It is a long ride, and you are not even saving that much as the price for a ticket is about 400-500 THB. There are 7 trains running between the two stations from 08:30 to 22:00 every day.",,,,0,0,8,0,0,0,0,0,0,5,1,2026-04-07
Bangkok,Thailand,https://www.google.com/maps/place/Bangkok,"Bangkok is the capital city of Thailand. There are budget-friendly overnight bus and boat options available from Bangkok to Koh Pha Ngan.

Bangkok has a bustling nightlife, some of the best market shopping and is a backpacker hotspot. Plus its historical sites and vibrant culture make it a well-rounded and fascinating place to visit.

Read More: The Ultimate Bangkok Travel Guide",Central Thailand,city,The Blonde Abroad,4,5,16,4,5,6,5,5,5,5,1,2026-04-07
Bangkok National Museum,Thailand,https://goo.gl/maps/1SYg8dtBDxqMnVaaA,"And there is no better way to learn about these cities and the rich history of ancient Siam than at the . The National Museum consists of several exhibitions that highlight each prominent period of Thailand.

Within , you will find a huge collection of curious artifacts and Buddhist arts dating back to the founding years of Siam from the Dvaravati, Srivijaya, Sukhothai, and Ayutthaya periods. Not only from Siam, but the artifacts and Buddhist art displayed here also come from all over Asia, from the Indian Gandhara to the Indonesian Java.",,,,0,0,4,0,0,10,0,0,0,0,1,2026-04-07
Bangkok’s Mo Chit Bus Terminal,Thailand,https://maps.app.goo.gl/A5ouUBXMwbG1UDgg9,"By Bus: There’s a direct bus from  to the Dan Sai drop-off point, and the journey takes about 8 hours. There are two departures: one at 12 PM, arriving at 7:45 PM, and another at 9 PM, arriving around 4:40 AM the next day. You can check the schedule here and book tickets through the bus company’s official website, or buy them directly at Mo Chit Bus Terminal. Just be sure to book well in advance if you're planning to attend Phi Ta Khon.",,,,0,1,8,0,4,4,1,4,7,10,1,2026-04-07
Banyan Tree Bangkok,Thailand,"https://www.google.com/maps/place/Banyan+Tree+Bangkok,+Thailand","A luxury hotel at the heart of the city, the Banyan Tree has wonderful views from the rooftop restaurant, luxury rooms, an amazing health center, and an outdoor swimming pool with its own great city views.",Central Thailand,Hotel,The Blonde Abroad,7,6,8,10,4,5,7,10,6,5,1,2026-04-07
Bas Relief stone carvings,Thailand,https://maps.app.goo.gl/DprTno725RWNpgJv9,"We've also built stunning walkways along the ridge of the cliff, where you can stroll and take in the breathtaking scenery. There are also impressive  of Hindu gods on one of the cliff faces, which are definitely worth checking out. It’s quite a sight to behold.",,,,6,5,8,9,7,9,0,6,0,2,1,2026-04-07
Big Buddha,Thailand,https://www.google.com/maps/place/Big+Buddha,The Big Buddha is the most famous temple on Koh Samui.,Koh Samui,Temple,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Big Buddha Temple,Thailand,https://www.google.com/maps/place/Big+Buddha+Temple,"The Big Buddha Temple is an iconic landmark in Koh Samui, and the author recommends visiting it as part of a day trip.

The Big Buddha Temple is a famous landmark in Koh Samui that is definitely worth visiting. It's a great spot for photos and offers stunning views of the surrounding area.",Koh Samui,Temple,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bird Watching Tower,Thailand,https://maps.app.goo.gl/W3aBmo6EqUGfbx5i6,One of my favorite places in Sri Nakhon Khuean Khan Park is the  located in the middle of a densely forested area. You can climb up and enjoy the view of the park from above.,,,,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bophut Fisherman’s Village,Thailand,https://www.google.com/maps/place/Bophut+Fisherman’s+Village,"Bophut Fisherman’s Village is one of the other activities to add to your itinerary.

Bophut Fisherman’s Village is a village with a rich history and culture.",Koh Samui,Village,The Blonde Abroad,5,5,20,5,5,5,5,5,5,5,1,2026-04-07
Bottle Beach,Thailand,https://www.google.com/maps/place/Bottle+Beach,"a fun adventure away from the noise and bustle of Koh Phangan

Bottle Beach is great for a little bit of everything. The white sand is soft and easy walking, with almost no rocks. There aren’t too many people. And there are several restaurants and volleyball nets at the beach if you want to stick around longer. The water was crystal clear.",Koh Phangan,beach,The World Travel Guy,5,6,14,8,4,2,3,7,4,6,1,2026-04-07
Bottle Beach Viewpoint,Thailand,https://www.google.com/maps/place/Bottle+Beach+Viewpoint,"The trailhead for the Bottle Beach viewpoint starts behind one of the food shacks in the middle of the beach, near the river wash. Just look for the makeshift sign or ask a local to point it out to you. Hiking to the Bottle Beach viewpoint takes about 30-60 minutes going up. The trail is shaded, but it’s all uphill so it can be pretty strenuous in the midday heat. Bring water! The hike to the Bottle Beach Koh Phangan viewpoint takes you through a nice jungle and you’ll most likely meet some lizards along the way. After scrambling on some big boulders and crawling through an opening in the rocks, you step out into a panoramic view of Bottle Beach and the green mountains around it. It’s an amazing view, but be very careful here because the rocks are slanted in some spots and the drop-offs are huge — you’re much higher than it seems at first!",Koh Phangan,viewpoint,The World Travel Guy,3,5,8,10,10,2,1,7,4,8,1,2026-04-07
Bridge to Test Your Willingness,Thailand,https://maps.app.goo.gl/DVCV9GsMkxNVzVmf8,"The most popular landmark at Ban Nam Chiao Community is the Wat Jai Bridge or the , a tall, steep bridge that connects two sides of the river together. As the name suggests, you can test your willingness, or more so, your fear of height, by climbing it. It's not particularly special or scary in my opinion, but people with acrophobia might disagree with me here.",,,,2,4,4,9,8,4,0,6,0,7,1,2026-04-07
Bua Tong Restaurant,Thailand,https://maps.app.goo.gl/QQUM75XdRDicDLLH9,"One of the most famous local delicacies among Thai people is Wichian Buri Chicken, a grilled chicken seasoned in a unique way that makes the skin extra crispy and incredibly flavorful. The dish originated in Wichian Buri town in Phetchabun, and the best place to try it is at , located along the highway in the Wichian Buri district as you approach Phetchabun City.",,,,1,3,8,2,1,9,8,6,9,7,1,2026-04-07
Bueng Kaen Nakhon Night Market,Thailand,https://maps.app.goo.gl/WHrNKe6tdBwJwT7Y9,"If you're staying overnight in the city, be sure to check out the bustling  in the evening. This lively street food market is set up daily along the banks of the beautiful Bueng Kaen Nakhon Reservoir, right in the heart of the city. You’ll find plenty of delicious and affordable street food stalls to choose from.",,,,3,3,16,9,3,4,7,8,2,4,1,2026-04-07
Bueng Kan Walking Street,Thailand,https://maps.app.goo.gl/JWxjdim3JzjT9MFj7,"If you’re staying overnight in Bueng Kan City, be sure to visit , a charming riverside market where you can try all kinds of street food. The market is only set up on Fridays and Saturdays from 4 PM to 8:30 PM, so plan your trip accordingly.",,,,1,1,8,1,0,6,10,4,0,0,1,2026-04-07
Bueng Planchai,Thailand,https://maps.app.goo.gl/iVgjfnNzyhJjQhcd7,"Right next to Roi Et Tower, you’ll find , a lake with what is arguably one of the best-developed lakeside parks in Thailand. It features fountain shows, stunning walkways over the water, and a lively evening atmosphere that reminded me of the Marina Bay area in Singapore. Yes, it's that incredible!",,,,8,7,4,10,4,2,0,9,0,7,1,2026-04-07
Bun Bung Fai Festival,Thailand,https://maps.app.goo.gl/ZDNrj2MTstPUruJBA,"Last but not least, if you are planning to visit Yasothon at the beginning of the rainy season, around the second week of May, on the weekends, be sure to go and attend  which often takes place in Phraya Tan Park in Yasothon City as well as other surrounding provinces.",,,,0,2,4,9,8,6,0,7,0,6,1,2026-04-07
COCO Coffee & Bar,Thailand,https://maps.app.goo.gl/n7qAkoYuVcgo78g38,"You will also get to participate with the performers and take photos with the torches at the end of the show. The show often lasts around 20 minutes. When I was checking into my hotel, the staff told me that there would be a free fire dance show at  at 6:40 PM, so if you want to witness one, be sure to ask your hotel reception if your hotel is organizing one or if there is a good place to be.",,,,2,2,4,1,5,8,0,7,7,7,1,2026-04-07
